ProbeSet	Symbol	Name	EntrezID
M26880_at	UBC	ubiquitin C	7316
M27160_at	TYR	tyrosinase (oculocutaneous albinism IA)	7299
M27161_at	CD8A	CD8a molecule	925
M27281_at	VEGFA	vascular endothelial growth factor A	7422
M27288_at	OSM	oncostatin M	5008
M27492_at	IL1R1	interleukin 1 receptor, type I	3554
M27543_at	GNAI3	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3	2773
M27819_at	SLC4A1	solute carrier family 4, anion exchanger, member 1 (erythrocyte membrane protein band 3, Diego blood group)	6521
M27826_at	psiTPTE22	TPTE pseudogene	387590
M27878_at	ZNF84	zinc finger protein 84	7637
M27891_at	CST3	cystatin C	1471
M28209_at	RAB1A	RAB1A, member RAS oncogene family	5861
M28210_at	RAB3A	RAB3A, member RAS oncogene family	5864
M28211_at	RAB4A	RAB4A, member RAS oncogene family	5867
M28212_at	RAB6A	RAB6A, member RAS oncogene family	5870
M28214_at	RAB3B	RAB3B, member RAS oncogene family	5865
M28215_at	RAB5A	RAB5A, member RAS oncogene family	5868
M28219_at	LDLR	low density lipoprotein receptor	3949
M28249_at	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	3673
M28713_at	CYB5R3	cytochrome b5 reductase 3	1727
M28825_at	CD1A	CD1a molecule	909
M28826_at	CD1B	CD1b molecule	910
M28827_at	CD1C	CD1c molecule	911
M28879_at	GZMB	granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)	3002
M28983_at	IL1A	interleukin 1, alpha	3552
M29064_at	HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1	3181
M29194_at	LIPC	lipase, hepatic	3990
M29204_at	C2orf3	chromosome 2 open reading frame 3	6936
M29273_at	MAG	myelin associated glycoprotein	4099
M29458_at	CA3	carbonic anhydrase III, muscle specific	761
M29474_at	RAG1	recombination activating gene 1	5896
M29536_at	EIF2S2	eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa	8894
M29540_at	CEACAM5	carcinoembryonic antigen-related cell adhesion molecule 5	1048
M29550_at	PPP3CB	protein phosphatase 3, catalytic subunit, beta isozyme	5532
M29551_at	PPP3CB	protein phosphatase 3, catalytic subunit, beta isozyme	5532
M29580_at	ZNF7	zinc finger protein 7	7553
M29581_at	ZNF8	zinc finger protein 8	7554
M29696_at	IL7R	interleukin 7 receptor	3575
M29877_at	FUCA1	fucosidase, alpha-L- 1, tissue	2517
M29927_at	OAT	ornithine aminotransferase	4942
M29960_at	NR2C1	nuclear receptor subfamily 2, group C, member 1	7181
M29971_at	MGMT	O-6-methylguanine-DNA methyltransferase	4255
M30135_at	IL9	interleukin 9	3578
M30185_at	CETP	cholesteryl ester transfer protein, plasma	1071
M30269_at	NID1	nidogen 1	4811
M30496_at	UCHL3	ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase)	7347
M30773_at	PPP3R1	protein phosphatase 3, regulatory subunit B, alpha	5534
M30818_at	MX2	myxovirus (influenza virus) resistance 2 (mouse)	4600
M30894_at			
M30938_at	XRCC5	X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining)	7520
M31013_at	MYH9	myosin, heavy chain 9, non-muscle	4627
M31153_at	CYP17A1	cytochrome P450, family 17, subfamily A, polypeptide 1	1586
M31158_at	PRKAR2B	protein kinase, cAMP-dependent, regulatory, type II, beta	5577
M31165_at	TNFAIP6	tumor necrosis factor, alpha-induced protein 6	7130
M31166_at	PTX3	pentraxin 3, long	5806
M31210_at	S1PR1	sphingosine-1-phosphate receptor 1	1901
M31303_rna1_at	STMN1	stathmin 1	3925
M31328_at	GNB3	guanine nucleotide binding protein (G protein), beta polypeptide 3	2784
M31520_at	RPS24	ribosomal protein S24	6229
M31525_at	HLA-DOA	major histocompatibility complex, class II, DO alpha	3111
M31606_at	PHKG2	phosphorylase kinase, gamma 2 (testis)	5261
M31627_at	XBP1	X-box binding protein 1	7494
M31642_at	HPRT1	hypoxanthine phosphoribosyltransferase 1	3251
M31651_at	SHBG	sex hormone-binding globulin	6462
M31659_at	SLC25A16	solute carrier family 25 (mitochondrial carrier; Graves disease autoantigen), member 16	8034
M31661_at	PRLR	prolactin receptor	5618
M31682_at	INHBB	inhibin, beta B	3625
M31899_at	ERCC3	excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)	2071
M31951_at	PRF1	perforin 1 (pore forming protein)	5551
M31994_at	ALDH1A1	aldehyde dehydrogenase 1 family, member A1	216
M32011_at	NCF2	neutrophil cytosolic factor 2	4688
M32053_at	H19	H19, imprinted maternally expressed transcript (non-protein coding)	283120
M32313_at	SRD5A1	steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1)	6715
M32315_at	TNFRSF1B	tumor necrosis factor receptor superfamily, member 1B	7133
M32334_at	ICAM2	intercellular adhesion molecule 2	3384
M32373_at	ARSB	arylsulfatase B	411
M32402_at	ENDOU	endonuclease, polyU-specific	8909
M32405_at	RPS15	ribosomal protein S15	6209
M32598_at	PYGM	phosphorylase, glycogen, muscle	5837
M32639_at	STATH	statherin	6779
M32886_at	SRI	sorcin	6717
M33195_at	FCER1G	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide	2207
M33308_at	VCL	vinculin	7414
M33336_at	PRKAR1A	protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)	5573
M33374_at	NDUFB7	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7, 18kDa	4713
M33478_at	PDC	phosducin	5132
M33518_at	PRRC2A	proline-rich coiled-coil 2A	7916
M33521_at	BAG6	BCL2-associated athanogene 6	7917
M33552_at	LSP1	lymphocyte-specific protein 1	4046
M33653_at	COL13A1	collagen, type XIII, alpha 1	1305
M33680_at	CD81	CD81 molecule	975
M33764_at	ODC1	ornithine decarboxylase 1	4953
M33882_at	MX1	myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)	4599
M33987_at	CA1	carbonic anhydrase I	759
M34041_at	ADRA2B	adrenergic, alpha-2B-, receptor	151
M34057_at	LTBP1	latent transforming growth factor beta binding protein 1	4052
M34065_at	CDC25C	cell division cycle 25 homolog C (S. pombe)	995
M34079_at	PSMC3	proteasome (prosome, macropain) 26S subunit, ATPase, 3	5702
M34175_at	AP2B1	adaptor-related protein complex 2, beta 1 subunit	163
M34181_at	PRKACB	protein kinase, cAMP-dependent, catalytic, beta	5567
M34182_at	PRKACG	protein kinase, cAMP-dependent, catalytic, gamma	5568
M34192_at	IVD	isovaleryl-CoA dehydrogenase	3712
M34309_at	ERBB3	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	2065
M34344_at	ITGA2B	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)	3674
M34423_at	GLB1	galactosidase, beta 1	2720
M34455_at	IDO1	indoleamine 2,3-dioxygenase 1	3620
M34539_at	FKBP1A	FK506 binding protein 1A, 12kDa	2280
M34667_at	PLCG1	phospholipase C, gamma 1	5335
M34668_at	PTPRA	protein tyrosine phosphatase, receptor type, A	5786
M34677_at			
M35128_at	CHRM1	cholinergic receptor, muscarinic 1	1128
M35198_at	ITGB6	integrin, beta 6	3694
M35252_at	TSPAN8	tetraspanin 8	7103
M35296_at	ABL2	v-abl Abelson murine leukemia viral oncogene homolog 2	27
M35416_at	RALB	v-ral simian leukemia viral oncogene homolog B (ras related; GTP binding protein)	5899
M35531_at	FUT1	fucosyltransferase 1 (galactoside 2-alpha-L-fucosyltransferase, H blood group)	2523
M35878_at	IGFBP3	insulin-like growth factor binding protein 3	3486
M36067_at	LIG1	ligase I, DNA, ATP-dependent	3978
M36089_at	XRCC1	X-ray repair complementing defective repair in Chinese hamster cells 1	7515
M36200_at	VAMP1	vesicle-associated membrane protein 1 (synaptobrevin 1)	6843
M36205_at	VAMP2	vesicle-associated membrane protein 2 (synaptobrevin 2)	6844
M36341_at	ARF4	ADP-ribosylation factor 4	378
M36803_at	HPX	hemopexin	3263
M37033_at	CD53	CD53 molecule	963
M37104_at	ATP5J	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F6	522
M37190_at	RIN2	Ras and Rab interactor 2	54453
M37197_at	CEBPZ	CCAAT/enhancer binding protein (C/EBP), zeta	10153
M37245_at	CTLA4	cytotoxic T-lymphocyte-associated protein 4	1493
M37400_at	GOT1	glutamic-oxaloacetic transaminase 1, soluble (aspartate aminotransferase 1)	2805
M37435_at	CSF1	colony stimulating factor 1 (macrophage)	1435
M37583_at	H2AFZ	H2A histone family, member Z	3015
M37721_at	PAM	peptidylglycine alpha-amidating monooxygenase	5066
M37763_at	NTF3	neurotrophin 3	4908
M37766_at	CD48	CD48 molecule	962
M37815_cds1_at	CD28	CD28 molecule	940
M37825_at	FGF5	fibroblast growth factor 5	2250
M37984_rna1_at	TNNC1	troponin C type 1 (slow)	7134
M38591_at	S100A10	S100 calcium binding protein A10	6281
M38690_at	CD9	CD9 molecule	928
M54927_at	PLP1	proteolipid protein 1	5354
M54951_at	NPPA	natriuretic peptide A	4878
M54968_at	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	3845
M54992_at	CD72	CD72 molecule	971
M54995_at	PPBP	pro-platelet basic protein (chemokine (C-X-C motif) ligand 7)	5473
M55040_at	ACHE	acetylcholinesterase	43
M55047_at	SYT1	synaptotagmin I	6857
M55067_at			
M55131_at	CFTR	cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)	1080
M55150_at	FAH	fumarylacetoacetate hydrolase (fumarylacetoacetase)	2184
M55153_at	TGM2	transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)	7052
M55172_at	ACAN	aggrecan	176
M55210_at	LAMC1	laminin, gamma 1 (formerly LAMB2)	3915
M55265_at	CSNK2A1	casein kinase 2, alpha 1 polypeptide	1457
M55267_at	EVI2A	ecotropic viral integration site 2A	2123
M55268_at	CSNK2A2	casein kinase 2, alpha prime polypeptide	1459
M55284_at	PRKCH	protein kinase C, eta	5583
M55420_at			
M55531_at	SLC2A5	solute carrier family 2 (facilitated glucose/fructose transporter), member 5	6518
M55542_at	GBP1	guanylate binding protein 1, interferon-inducible	2633
M55543_at	GBP2	guanylate binding protein 2, interferon-inducible	2634
M55593_at	MMP2	matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)	4313
M55621_at	MGAT1	mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	4245
M55671_at	PROZ	protein Z, vitamin K-dependent plasma glycoprotein	8858
M55905_at	ME2	malic enzyme 2, NAD(+)-dependent, mitochondrial	4200
M57230_at	IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)	3572
M57293_at	PTHLH	parathyroid hormone-like hormone	5744
M57399_at	PTN	pleiotrophin	5764
M57471_at	UOX	urate oxidase, pseudogene	391051
M57506_rna1_at	CCL1	chemokine (C-C motif) ligand 1	6346
M57567_at	ARF5	ADP-ribosylation factor 5	381
M57609_at	GLI3	GLI family zinc finger 3	2737
M57710_at	LGALS3	lectin, galactoside-binding, soluble, 3	3958
M57730_at	EFNA1	ephrin-A1	1942
M57732_at	HNF1A	HNF1 homeobox A	6927
M57763_at	ARF6	ADP-ribosylation factor 6	382
M57892_at	CA6	carbonic anhydrase VI	765
M58028_at	UBA1	ubiquitin-like modifier activating enzyme 1	7317
M58285_at	NCKAP1L	NCK-associated protein 1-like	3071
M58297_at	MZF1	myeloid zinc finger 1	7593
M58378_cds1_at	SYN1	synapsin I	6853
M58459_at	RPS4Y1	ribosomal protein S4, Y-linked 1	6192
M58583_at	CBLN1	cerebellin 1 precursor	869
M58597_at	FUT4	fucosyltransferase 4 (alpha (1,3) fucosyltransferase, myeloid-specific)	2526
M58600_rna1_at	SERPIND1	serpin peptidase inhibitor, clade D (heparin cofactor), member 1	3053
M58603_at	NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	4790
M59371_at	EPHA2	EPH receptor A2	1969
M59465_at	TNFAIP3	tumor necrosis factor, alpha-induced protein 3	7128
M59488_at	S100B	S100 calcium binding protein B	6285
M59499_at	TFPI	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)	7035
M59807_at	IL32	interleukin 32	9235
M59815_at			
M59820_at	CSF3R	colony stimulating factor 3 receptor (granulocyte)	1441
M59829_at	HSPA1L	heat shock 70kDa protein 1-like	3305
M59830_at			
M59911_at	ITGA3	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)	3675
M59916_at	SMPD1	sphingomyelin phosphodiesterase 1, acid lysosomal	6609
M59941_at	CSF2RB	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)	1439
M59964_at	KITLG	KIT ligand	4254
M59979_at	PTGS1	prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)	5742
M60047_at	FGFBP1	fibroblast growth factor binding protein 1	9982
M60052_at	HRC	histidine rich calcium binding protein	3270
M60091_at	GALT	galactose-1-phosphate uridylyltransferase	2592
M60092_at	AMPD1	adenosine monophosphate deaminase 1	270
M60094_rna1_at	HIST1H1T	histone cluster 1, H1t	3010
M60165_cds1_at	GNAO1	guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O	2775
M60278_at	HBEGF	heparin-binding EGF-like growth factor	1839
M60298_at	EPB42	erythrocyte membrane protein band 4.2	2038
M60299_at	COL2A1	collagen, type II, alpha 1	1280
M60314_at	BMP5	bone morphogenetic protein 5	653
M60315_at	BMP6	bone morphogenetic protein 6	654
M60331_at	PRM1	protamine 1	5619
M60459_at	EPOR	erythropoietin receptor	2057
M60527_at	DCK	deoxycytidine kinase	1633
M60556_rna2_at	TGFB3	transforming growth factor, beta 3	7043
M60626_at	FPR1	formyl peptide receptor 1	2357
M60721_at	HLX	H2.0-like homeobox	3142
M60724_at	RPS6KB1	ribosomal protein S6 kinase, 70kDa, polypeptide 1	6198
M60748_at	HIST1H1E	histone cluster 1, H1e	3008
M60749_at	HIST1H4F	histone cluster 1, H4f	8361
M60752_at	HIST1H2AE	histone cluster 1, H2ae	3012
M60830_at	EVI2B	ecotropic viral integration site 2B	2124
M60854_at	RPS16	ribosomal protein S16	6217
M60858_rna1_at	NCL	nucleolin	4691
M60922_at	FLOT2	flotillin 2	2319
M61156_at	TFAP2A	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	7020
M61176_at	BDNF	brain-derived neurotrophic factor	627
M61199_at	SSFA2	sperm specific antigen 2	6744
M61733_at	EPB41	erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)	2035
M61764_at	TUBG1	tubulin, gamma 1	7283
M61906_at	PIK3R1	phosphoinositide-3-kinase, regulatory subunit 1 (alpha)	5295
M61916_at	LAMB1	laminin, beta 1	3912
M62302_at			
M62324_at	ARID5A	AT rich interactive domain 5A (MRF1-like)	10865
M62397_at	MCC	mutated in colorectal cancers	4163
M62400_at	GABRR1	gamma-aminobutyric acid (GABA) receptor, rho 1	2569
M62402_at	IGFBP6	insulin-like growth factor binding protein 6	3489
M62424_at	F2R	coagulation factor II (thrombin) receptor	2149
M62486_at	C4BPA	complement component 4 binding protein, alpha	722
M62505_at	C5AR1	complement component 5a receptor 1	728
M62762_at	ATP6V0C	ATPase, H+ transporting, lysosomal 16kDa, V0 subunit c	527
M62783_at	NAGA	N-acetylgalactosaminidase, alpha-	4668
M62800_at	TRIM21	tripartite motif containing 21	6737
M62810_at	TFAM	transcription factor A, mitochondrial	7019
M62831_at	IER2	immediate early response 2	9592
M62840_at	AOAH	acyloxyacyl hydrolase (neutrophil)	313
M62843_at	ELAVL4	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D)	1996
M62958_at	PRPH2	peripherin 2 (retinal degeneration, slow)	5961
M62982_at	ALOX12	arachidonate 12-lipoxygenase	239
M62994_at	FLNB	filamin B, beta	2317
M63138_at	CTSD	cathepsin D	1509
M63154_at	GIF	gastric intrinsic factor (vitamin B synthesis)	2694
M63167_at	AKT1	v-akt murine thymoma viral oncogene homolog 1	207
M63175_at	AMFR	autocrine motility factor receptor	267
M63180_at	TARS	threonyl-tRNA synthetase	6897
M63256_at	CDR2	cerebellar degeneration-related protein 2, 62kDa	1039
M63262_at	ALOX5AP	arachidonate 5-lipoxygenase-activating protein	241
M63379_at	CLU	clusterin	1191
M63391_rna1_at	DES	desmin	1674
M63483_at	MATR3	matrin 3	9782
M63488_at	RPA1	replication protein A1, 70kDa	6117
M63573_at	PPIB	peptidylprolyl isomerase B (cyclophilin B)	5479
M63582_at	TRH	thyrotropin-releasing hormone	7200
M63589_at	TAL1	T-cell acute lymphocytic leukemia 1	6886
M63603_at	PLN	phospholamban	5350
M63623_at	OMG	oligodendrocyte myelin glycoprotein	4974
M63835_at	FCGR1A	Fc fragment of IgG, high affinity Ia, receptor (CD64)	2209
M63896_at	TEAD1	TEA domain family member 1 (SV40 transcriptional enhancer factor)	7003
M63904_at	GNA15	guanine nucleotide binding protein (G protein), alpha 15 (Gq class)	2769
M63928_at	CD27	CD27 molecule	939
M63959_at	LRPAP1	low density lipoprotein receptor-related protein associated protein 1	4043
M63962_rna1_at	ATP4A	ATPase, H+/K+ exchanging, alpha polypeptide	495
M63967_at	ALDH1B1	aldehyde dehydrogenase 1 family, member B1	219
M64082_at	FMO1	flavin containing monooxygenase 1	2326
M64098_at	HDLBP	high density lipoprotein binding protein	3069
M64099_at	GGT5	gamma-glutamyltransferase 5	2687
M64108_at	COL14A1	collagen, type XIV, alpha 1	7373
M64174_at	JAK1	Janus kinase 1	3716
M64347_at	FGFR3	fibroblast growth factor receptor 3	2261
M64358_at	LMO3	LIM domain only 3 (rhombotin-like 2)	55885
M64497_at	NR2F2	nuclear receptor subfamily 2, group F, member 2	7026
M64554_rna1_at	F13B	coagulation factor XIII, B polypeptide	2165
M64571_at	MAP4	microtubule-associated protein 4	4134
M64572_at	PTPN3	protein tyrosine phosphatase, non-receptor type 3	5774
M64590_at	GLDC	glycine dehydrogenase (decarboxylating)	2731
M64595_at	RAC2	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)	5880
M64673_at	HSF1	heat shock transcription factor 1	3297
M64676_at	KCNC4	potassium voltage-gated channel, Shaw-related subfamily, member 4	3749
M64716_at	RPS25	ribosomal protein S25	6230
M64788_at	RAP1GAP	RAP1 GTPase activating protein	5909
M64925_at	MPP1	membrane protein, palmitoylated 1, 55kDa	4354
M64929_at	PPP2R2A	protein phosphatase 2, regulatory subunit B, alpha	5520
M64930_at	PPP2R2B	protein phosphatase 2, regulatory subunit B, beta	5521
M64934_at	KEL	Kell blood group, metallo-endopeptidase	3792
M64936_at			
M64992_at	PSMA1	proteasome (prosome, macropain) subunit, alpha type, 1	5682
M65066_at	PRKAR1B	protein kinase, cAMP-dependent, regulatory, type I, beta	5575
M65085_at	FSHR	follicle stimulating hormone receptor	2492
M65131_rna1_at	MUT	methylmalonyl CoA mutase	4594
M65199_at	EDN2	endothelin 2	1907
M65217_at	HSF2	heat shock transcription factor 2	3298
M65254_at	PPP2R1B	protein phosphatase 2, regulatory subunit A, beta	5519
M65290_at	IL12B	interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40)	3593
M65291_at	IL12A	interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35)	3592
M67439_at	DRD5	dopamine receptor D5	1816
M68516_rna1_at	SERPINA5	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 5	5104
M68520_at	CDK2	cyclin-dependent kinase 2	1017
M68840_at	MAOA	monoamine oxidase A	4128
M68864_at	UBXN1	UBX domain protein 1	51035
M68874_at	PLA2G4A	phospholipase A2, group IVA (cytosolic, calcium-dependent)	5321
M68891_at	GATA2	GATA binding protein 2	2624
M68895_rna1_at	ADH6	alcohol dehydrogenase 6 (class V)	130
M68941_at	PTPN4	protein tyrosine phosphatase, non-receptor type 4 (megakaryocyte)	5775
M69023_at	TSPAN3	tetraspanin 3	10099
M69039_at	C1QBP	complement component 1, q subcomponent binding protein	708
M69043_at	NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	4792
M69066_at	MSN	moesin	4478
M69177_at	MAOB	monoamine oxidase B	4129
M69225_at	DST	dystonin	667
M69238_at	ARNT	aryl hydrocarbon receptor nuclear translocator	405
M73047_at	TPP2	tripeptidyl peptidase II	7174
M73077_at	ARHGAP35	Rho GTPase activating protein 35	2909
M73481_at	GRPR	gastrin-releasing peptide receptor	2925
M73482_at	NMBR	neuromedin B receptor	4829
M73489_at	GUCY2C	guanylate cyclase 2C (heat stable enterotoxin receptor)	2984
M73547_at	REEP5	receptor accessory protein 5	7905
M73720_at	CPA3	carboxypeptidase A3 (mast cell)	1359
M73780_at	ITGB8	integrin, beta 8	3696
M74002_at	SRSF11	serine/arginine-rich splicing factor 11	9295
M74047_at	SRD5A2	steroid-5-alpha-reductase, alpha polypeptide 2 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 2)	6716
M74089_at	SLC25A46	solute carrier family 25, member 46	91137
M74091_at	CCNC	cyclin C	892
M74093_at	CCNE1	cyclin E1	898
M74096_at	ACADL	acyl-CoA dehydrogenase, long chain	33
M74099_at	CUX1	cut-like homeobox 1	1523
M74161_at	INPP5B	inositol polyphosphate-5-phosphatase, 75kDa	3633
M74290_at	TACR1	tachykinin receptor 1	6869
M74297_at	HOXA4	homeobox A4	3201
M74447_at	TAP2	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)	6891
M74491_at	ARF3	ADP-ribosylation factor 3	377
M74524_at	UBE2A	ubiquitin-conjugating enzyme E2A	7319
M74525_at	UBE2B	ubiquitin-conjugating enzyme E2B	7320
M74542_at	ALDH3A1	aldehyde dehydrogenase 3 family, member A1	218
M74558_at	STIL	SCL/TAL1 interrupting locus	6491
M74719_at	TCF4	transcription factor 4	6925
M74826_at	GAD2	glutamate decarboxylase 2 (pancreatic islets and brain, 65kDa)	2572
M75099_at	FKBP2	FK506 binding protein 2, 13kDa	2286
M75106_at	CPB2	carboxypeptidase B2 (plasma)	1361
M75110_at	ATP4B	ATPase, H+/K+ exchanging, beta polypeptide	496
M75126_at	HK1	hexokinase 1	3098
M76180_at	DDC	dopa decarboxylase (aromatic L-amino acid decarboxylase)	1644
M76231_at	SPR	sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase)	6697
M76378_at	CSRP1	cysteine and glycine-rich protein 1	1465
M76424_at	CA7	carbonic anhydrase VII	766
M76446_at	ADRA1D	adrenergic, alpha-1D-, receptor	146
M76482_at	DSG3	desmoglein 3	1830
M76558_at	CACNA1D	calcium channel, voltage-dependent, L type, alpha 1D subunit	776
M76559_at	CACNA2D1	calcium channel, voltage-dependent, alpha 2/delta subunit 1	781
M76665_at	HSD11B1	hydroxysteroid (11-beta) dehydrogenase 1	3290
M76766_at	GTF2B	general transcription factor IIB	2959
M77016_at	TMOD1	tropomodulin 1	7111
M77140_at	GAL	galanin prepropeptide	51083
M77142_at	TIA1	TIA1 cytotoxic granule-associated RNA binding protein	7072
M77232_rna1_at	RPS6	ribosomal protein S6	6194
M77235_at	SCN5A	sodium channel, voltage-gated, type V, alpha subunit	6331
M77349_at	TGFBI	transforming growth factor, beta-induced, 68kDa	7045
M77698_at	YY1	YY1 transcription factor	7528
M77810_at	GATA2	GATA binding protein 2	2624
M77836_at	PYCR1	pyrroline-5-carboxylate reductase 1	5831
M79462_at	PML	promyelocytic leukemia	5371
M80244_at	SLC7A5	solute carrier family 7 (amino acid transporter light chain, L system), member 5	8140
M80254_at	PPIF	peptidylprolyl isomerase F	10105
M80333_at	CHRM5	cholinergic receptor, muscarinic 5	1133
M80335_at	PRKACA	protein kinase, cAMP-dependent, catalytic, alpha	5566
M80359_at	MARK3	MAP/microtubule affinity-regulating kinase 3	4140
M80478_at	GP9	glycoprotein IX (platelet)	2815
M80482_at	PCSK6	proprotein convertase subtilisin/kexin type 6	5046
M80563_at	S100A4	S100 calcium binding protein A4	6275
M80629_at	CDK13	cyclin-dependent kinase 13	8621
M80647_at	TBXAS1	thromboxane A synthase 1 (platelet)	6916
M80783_at	TNFAIP1	tumor necrosis factor, alpha-induced protein 1 (endothelial)	7126
M80899_at	AHNAK	AHNAK nucleoprotein	79026
M81057_at	CPB1	carboxypeptidase B1 (tissue)	1360
M81118_at	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	128
M81379_at	COL4A3	collagen, type IV, alpha 3 (Goodpasture antigen)	1285
M81601_at	TCEA1	transcription elongation factor A (SII), 1	6917
M81637_at	GCA	grancalcin, EF-hand calcium binding protein	25801
M81750_at	MNDA	myeloid cell nuclear differentiation antigen	4332
M81757_at	RPS19	ribosomal protein S19	6223
M81758_at	SCN4A	sodium channel, voltage-gated, type IV, alpha subunit	6329
M81780_cds3_at			
M81780_cds4_at			
M81780_cds5_at	SMPD1	sphingomyelin phosphodiesterase 1, acid lysosomal	6609
M81829_at	SSTR1	somatostatin receptor 1	6751
M81830_at	SSTR2	somatostatin receptor 2	6752
M81882_at	GAD2	glutamate decarboxylase 2 (pancreatic islets and brain, 65kDa)	2572
M81933_at	CDC25A	cell division cycle 25 homolog A (S. pombe)	993
M82809_at	ANXA4	annexin A4	307
M82882_at	ELF1	E74-like factor 1 (ets domain transcription factor)	1997
M82919_at	GABRB3	gamma-aminobutyric acid (GABA) A receptor, beta 3	2562
M82962_at	MEP1A	meprin A, alpha (PABA peptide hydrolase)	4224
M83088_at	PGM1	phosphoglucomutase 1	5236
M83181_at	HTR1A	5-hydroxytryptamine (serotonin) receptor 1A	3350
M83186_at	COX7A1	cytochrome c oxidase subunit VIIa polypeptide 1 (muscle)	1346
M83221_at	RELB	v-rel reticuloendotheliosis viral oncogene homolog B	5971
M83233_at	TCF12	transcription factor 12	6938
M83308_at	COX6A2	cytochrome c oxidase subunit VIa polypeptide 2	1339
M83363_at	ATP2B4	ATPase, Ca++ transporting, plasma membrane 4	493
M83554_at	TNFRSF8	tumor necrosis factor receptor superfamily, member 8	943
M83651_at	B4GALNT1	beta-1,4-N-acetyl-galactosaminyl transferase 1	2583
M83738_at	PTPN9	protein tyrosine phosphatase, non-receptor type 9	5780
M83751_at	MANF	mesencephalic astrocyte-derived neurotrophic factor	7873
M83772_at	FMO3	flavin containing monooxygenase 3	2328
M83822_at	LRBA	LPS-responsive vesicle trafficking, beach and anchor containing	987
M83941_at	EPHA3	EPH receptor A3	2042
M84332_at	ARF1	ADP-ribosylation factor 1	375
M84349_at	CD59	CD59 molecule, complement regulatory protein	966
M84526_at	CFD	complement factor D (adipsin)	1675
M84605_at			
M84711_at	RPS3A	ribosomal protein S3A	6189
M84739_at	CALR	calreticulin	811
M85085_at	CSTF2	cleavage stimulation factor, 3@#$%& pre-RNA, subunit 2, 64kDa	1478
M85164_at	ELK4	ELK4, ETS-domain protein (SRF accessory protein 1)	2005
M85165_at	ELK4	ELK4, ETS-domain protein (SRF accessory protein 1)	2005
M85169_at	CYTH1	cytohesin 1	9267
M85217_at	KCNA3	potassium voltage-gated channel, shaker-related subfamily, member 3	3738
M85220_at			
M85247_at	DRD1	dopamine receptor D1	1812
M85276_at	GNLY	granulysin	10578
M86400_at	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	7534
M86406_at	ACTN2	actinin, alpha 2	88
M86407_at	ACTN3	actinin, alpha 3	89
M86528_at	NTF4	neurotrophin 4	4909
M86546_at	PBX1	pre-B-cell leukemia homeobox 1	5087
